model_name,path,target_group,model_family,loaded
cost_overrun_pct__linear_regression,/Applications/thesis_risk_ml/outputs/models/cost_overrun_pct__linear_regression.joblib,cost,linear_regression,True
cost_overrun_pct__random_forest,/Applications/thesis_risk_ml/outputs/models/cost_overrun_pct__random_forest.joblib,cost,random_forest,True
cost_overrun_pct__xgboost,/Applications/thesis_risk_ml/outputs/models/cost_overrun_pct__xgboost.joblib,cost,xgboost,True
schedule_overrun_pct__linear_regression,/Applications/thesis_risk_ml/outputs/models/schedule_overrun_pct__linear_regression.joblib,schedule,linear_regression,True
schedule_overrun_pct__random_forest,/Applications/thesis_risk_ml/outputs/models/schedule_overrun_pct__random_forest.joblib,schedule,random_forest,True
schedule_overrun_pct__xgboost,/Applications/thesis_risk_ml/outputs/models/schedule_overrun_pct__xgboost.joblib,schedule,xgboost,True
