target_group,model_name,pred_actual_correlation,pred_on_actual_slope,pred_on_actual_intercept,mean_residual,residual_std
cost,cost_overrun_pct__random_forest,0.9817719030364958,0.8851816741463889,-0.00254069173996006,-0.0002398721250455591,0.01738202824976367
cost,cost_overrun_pct__xgboost,0.9606994376344784,0.9032655615338211,-0.0020672822342989255,-0.00027534279616529,0.023455279622236893
cost,cost_overrun_pct__linear_regression,0.941718891024908,0.9026093077025992,-0.0004138258766074852,-0.0019446917012859118,0.028382554345523087
schedule,schedule_overrun_pct__random_forest,0.9803131794614836,0.8766205051570609,-0.0022585239490897045,6.516483710051773e-05,0.021124195277319416
schedule,schedule_overrun_pct__xgboost,0.9567928260094819,0.8916760759720682,-0.0017722691187012274,-0.000153442006275762,0.028619672422216705
schedule,schedule_overrun_pct__linear_regression,0.9282554826419089,0.8715004683779265,-0.002402090915995619,0.00011771117422083121,0.03649111015767309
