threshold,precision,recall,f1,tp,fp,tn,fn,target_group,model_name
0.15,1.0,0.5,0.6666666666666666,9,0,482,9,cost,cost_overrun_pct__random_forest
0.15,0.8181818181818182,0.5,0.6206896551724138,9,2,480,9,cost,cost_overrun_pct__linear_regression
0.15,0.8888888888888888,0.4444444444444444,0.5925925925925926,8,1,481,10,cost,cost_overrun_pct__xgboost
0.15,0.875,0.7,0.7777777777777778,21,3,467,9,schedule,schedule_overrun_pct__xgboost
0.15,1.0,0.5666666666666667,0.723404255319149,17,0,470,13,schedule,schedule_overrun_pct__random_forest
0.15,0.782608695652174,0.6,0.6792452830188679,18,5,465,12,schedule,schedule_overrun_pct__linear_regression
